team,season,seed,win_pct,off_rtg,def_rtg,net_rtg,srs,total_playoff_games,player1vorp,player2vorp,player3vorp,player4vorp,player5vorp,player6vorp,player7vorp,player8vorp,player9vorp,champ_scr
Oklahoma City Thunder,2016,3,0.671,113.1,105.6,7.5,7.09,406,7.8,6.8,1.4,1.1,1.0,0.8,0.2,0.2,0.0,0.6
Orlando Magic,2016,11,0.427,105.1,106.8,-1.7,-1.68,93,2.3,2.0,1.4,1.1,0.9,0.4,0.3,0.2,0.2,0
Philadelphia 76ers,2016,15,0.122,98.8,109.2,-10.4,-9.92,87,0.9,0.5,0.5,0.3,0.2,0.1,0.1,0.1,-0.1,0
Phoenix Suns,2016,14,0.28,102.2,109.0,-6.7,-6.32,156,1.4,1.4,0.6,0.6,0.5,0.4,0.4,0.2,0.1,0
Portland Trail Blazers,2016,5,0.537,108.8,108.0,0.9,0.98,92,4.3,2.3,1.9,1.6,1.2,0.5,0.5,0.1,0.1,0.4
Sacramento Kings,2016,10,0.402,106.0,108.4,-2.5,-2.31,263,3.0,1.9,1.2,1.0,1.0,0.4,0.4,0.3,0.0,0
San Antonio Spurs,2016,2,0.817,110.3,99.0,11.3,10.28,1196,6.7,2.5,2.0,1.7,1.6,1.6,1.5,1.2,1.1,0.4
Toronto Raptors,2016,2,0.683,110.0,105.2,4.8,4.08,184,5.7,3.2,1.4,1.0,1.0,0.8,0.5,0.4,0.4,0.6
Utah Jazz,2016,9,0.488,105.9,103.9,1.9,1.84,42,3.3,2.6,2.0,1.7,0.8,0.7,0.5,0.5,0.3,0
Washington Wizards,2016,10,0.5,105.3,105.8,-0.5,-0.5,357,3.9,1.8,1.5,1.0,1.0,0.7,0.6,0.4,0.1,0
Atlanta Hawks,2017,5,0.524,104.9,105.7,-0.9,-1.23,431,2.4,1.9,1.4,1.3,1.1,1.0,1.0,0.5,0.1,0.2
Boston Celtics,2017,1,0.646,111.2,108.4,2.7,2.25,222,5.6,3.0,1.7,1.1,0.9,0.7,0.4,0.2,0.1,0.6
Brooklyn Nets,2017,15,0.244,104.1,110.7,-6.6,-6.74,77,2.4,0.9,0.6,0.4,0.4,0.3,0.3,0.2,0.0,0
Charlotte Hornets,2017,11,0.439,108.8,108.6,0.2,-0.07,219,4.2,1.9,1.1,1.0,0.7,0.7,0.4,0.4,0.1,0
Chicago Bulls,2017,8,0.5,107.4,107.0,0.4,0.03,329,6.6,2.1,1.1,0.7,0.6,0.3,0.1,0.0,-0.1,0.2
Cleveland Cavaliers,2017,2,0.622,113.6,110.3,3.3,2.87,980,6.7,3.4,1.9,1.1,0.9,0.7,0.2,0.1,0.1,0.8
Dallas Mavericks,2017,11,0.402,105.6,108.8,-3.2,-2.52,372,1.7,1.2,1.0,1.0,0.8,0.8,0.7,0.4,0.3,0
Denver Nuggets,2017,9,0.488,113.2,112.7,0.5,0.7,289,4.8,2.2,1.9,1.2,1.0,0.7,0.5,0.4,0.3,0
Detroit Pistons,2017,10,0.451,106.0,107.1,-1.2,-1.29,166,2.3,1.8,1.1,1.1,1.0,0.6,0.6,0.4,0.3,0
Golden State Warriors,2017,1,0.817,115.6,104.0,11.6,11.35,698,5.9,5.7,4.3,2.3,1.9,1.0,0.8,0.6,0.3,1
Houston Rockets,2017,3,0.671,114.7,109.0,5.7,5.84,326,8.0,3.0,2.1,1.6,1.2,1.1,0.9,0.8,0.8,0.4
Indiana Pacers,2017,7,0.512,108.6,108.8,-0.2,-0.64,370,3.4,2.8,2.0,1.4,1.1,0.6,0.1,0.1,-0.1,0.2
Los Angeles Clippers,2017,4,0.622,112.7,108.2,4.5,4.42,599,5.2,3.5,3.5,1.4,0.9,0.8,0.4,0.3,0.0,0.2
Los Angeles Lakers,2017,14,0.317,106.0,113.0,-7.0,-6.29,255,1.0,0.7,0.6,0.6,0.0,0.0,0.0,0.0,-0.2,0
Memphis Grizzlies,2017,7,0.524,107.7,107.1,0.5,0.96,403,5.1,4.6,1.3,0.7,0.6,0.5,0.4,0.3,0.0,0.2
Miami Heat,2017,9,0.5,107.8,106.7,1.1,0.77,372,2.9,2.5,2.2,1.8,0.7,0.7,0.4,0.3,0.0,0
Milwaukee Bucks,2017,6,0.512,109.1,109.3,-0.2,-0.45,261,6.7,1.7,1.2,0.8,0.5,0.4,0.4,0.3,0.2,0.2
Minnesota Timberwolves,2017,13,0.378,110.8,112.0,-1.2,-0.64,53,5.2,1.8,1.3,0.9,0.4,0.2,0.2,0.1,0.0,0
New Orleans Pelicans,2017,10,0.415,105.2,107.4,-2.1,-1.69,149,5.5,5.4,1.8,0.4,0.2,0.2,-0.1,-0.1,-0.1,0
New York Knicks,2017,12,0.378,107.7,111.5,-3.8,-3.87,287,1.7,1.3,1.2,0.7,0.7,0.6,0.5,0.4,0.0,0
Oklahoma City Thunder,2017,6,0.573,108.3,107.5,0.8,1.14,382,9.3,1.4,1.1,0.8,0.6,0.3,0.2,0.1,0.1,0.2
Orlando Magic,2017,13,0.354,103.7,110.5,-6.7,-6.61,193,1.9,1.7,0.9,0.6,0.4,0.1,0.0,-0.2,-0.2,0
Philadelphia 76ers,2017,14,0.341,103.2,108.9,-5.7,-5.83,119,1.3,1.1,0.9,0.5,0.2,0.2,0.0,0.0,0.0,0
Phoenix Suns,2017,15,0.293,106.6,112.2,-5.6,-5.14,268,3.1,0.8,0.7,0.3,0.1,0.1,0.0,0.0,-0.1,0
Portland Trail Blazers,2017,8,0.5,110.3,110.8,-0.5,-0.23,231,4.8,2.8,0.8,0.4,0.4,0.4,0.2,0.1,0.0,0.2
Sacramento Kings,2017,12,0.39,107.3,111.3,-4.0,-3.29,176,1.0,0.6,0.5,0.5,0.4,0.4,0.3,0.0,0.0,0
San Antonio Spurs,2017,2,0.744,111.1,103.5,7.6,7.13,889,7.1,2.5,1.7,1.6,1.4,1.3,1.1,1.0,0.9,0.6
Toronto Raptors,2017,3,0.622,112.3,107.8,4.4,3.65,356,4.6,3.3,1.2,1.2,1.1,1.0,1.0,0.8,0.5,0.4
Utah Jazz,2017,5,0.622,109.6,105.3,4.3,4.0,317,4.5,4.4,2.3,1.8,1.1,0.6,0.4,0.4,0.2,0.4
Washington Wizards,2017,4,0.598,111.2,109.3,1.8,1.36,204,4.8,3.5,3.5,0.8,0.3,0.1,0.1,0.0,0.0,0.4
Atlanta Hawks,2018,15,0.293,105.0,110.6,-5.5,-5.3,125,1.2,0.8,0.8,0.7,0.6,0.6,0.0,0.0,0.0,0
Boston Celtics,2018,2,0.671,107.6,103.9,3.7,3.23,264,4.5,3.7,2.1,2.0,1.1,0.8,0.7,0.5,0.3,0.6
Brooklyn Nets,2018,12,0.341,106.9,110.6,-3.8,-3.67,154,1.5,1.2,1.0,1.0,0.7,0.6,0.5,0.3,0.1,0
Charlotte Hornets,2018,10,0.439,109.4,109.1,0.3,0.07,245,4.2,1.8,1.5,1.2,1.2,0.8,0.4,0.1,0.1,0
Chicago Bulls,2018,13,0.329,103.8,110.9,-7.1,-6.84,118,1.2,0.9,0.5,0.3,0.3,0.2,0.2,0.0,-0.1,0
Cleveland Cavaliers,2018,4,0.61,112.9,111.9,1.0,0.59,835,8.2,2.2,1.6,1.0,0.9,0.8,0.6,0.2,0.1,0.8
Dallas Mavericks,2018,13,0.293,106.3,109.5,-3.2,-2.7,310,2.1,1.5,1.3,1.0,0.6,0.5,0.5,0.4,0.3,0
Denver Nuggets,2018,9,0.561,112.5,111.0,1.5,1.57,378,5.5,2.1,1.7,1.1,1.1,0.9,0.7,0.1,0.1,0
